t,robot_0_x,robot_0_y,robot_1_x,robot_1_y,robot_2_x,robot_2_y,reward
0.104,0.5222,1.4422,1.4407,1.4922,2.4677,1.5043,
0.201,0.5220,1.4413,1.4407,1.4921,2.4677,1.5044,-2.8999
0.301,0.5221,1.4404,1.4408,1.4920,2.4677,1.5043,-2.9008
0.401,0.5221,1.4404,1.4408,1.4920,2.4677,1.5043,-2.9014
0.502,0.5222,1.4398,1.4409,1.4920,2.4678,1.5043,-2.9014
0.601,0.5222,1.4398,1.4409,1.4920,2.4678,1.5043,-2.9018
0.701,0.5211,1.4598,1.4306,1.4949,2.4743,1.4860,-2.9020
0.801,0.5211,1.5010,1.4123,1.4991,2.4838,1.4549,-2.8578
0.901,0.5193,1.5216,1.4045,1.5025,2.4844,1.4433,-2.7932
1.001,0.5153,1.5447,1.3935,1.5039,2.4882,1.4240,-2.7640
1.101,0.5146,1.5682,1.3820,1.5070,2.4911,1.4130,-2.7246
1.201,0.5163,1.5866,1.3756,1.5115,2.4932,1.3949,-2.6914
1.301,0.5154,1.5968,1.3750,1.5122,2.4928,1.3865,-2.6512
1.401,0.5142,1.6084,1.3850,1.5069,2.4952,1.3789,-2.6437
1.517,0.5167,1.6185,1.3856,1.5026,2.4971,1.3703,-2.6357
1.603,0.5253,1.6092,1.3667,1.5028,2.4968,1.3618,-2.6175
1.709,0.5383,1.5894,1.3420,1.5069,2.4985,1.3391,-2.5938
1.801,0.5556,1.5698,1.3160,1.5165,2.5010,1.3088,-2.5454
1.901,0.5604,1.5624,1.3048,1.5223,2.5022,1.2886,-2.5209
2.002,0.5644,1.5543,1.2931,1.5264,2.5027,1.2798,-2.4966
2.101,0.5778,1.5385,1.2712,1.5296,2.5047,1.2574,-2.4779
2.201,0.5844,1.5309,1.2615,1.5313,2.5054,1.2449,-2.4532
2.301,0.5926,1.5186,1.2436,1.5351,2.5060,1.2286,-2.4350
2.403,0.5914,1.5221,1.2353,1.5373,2.5066,1.2210,-2.4158
2.502,0.5809,1.5597,1.2201,1.5410,2.5075,1.2056,-2.4031
2.601,0.5762,1.5746,1.2132,1.5425,2.5074,1.1988,-2.3620
2.702,0.5733,1.5835,1.2039,1.5438,2.5076,1.1906,-2.3451
2.802,0.5705,1.5916,1.1973,1.5442,2.5077,1.1856,-2.3285
2.901,0.5690,1.5961,1.1921,1.5453,2.5078,1.1795,-2.3124
3.001,0.5673,1.6013,1.1896,1.5461,2.5076,1.1765,-2.3066
3.101,0.5673,1.6013,1.1896,1.5461,2.5076,1.1765,-2.3006
3.201,0.5603,1.6211,1.1786,1.5501,2.5071,1.1601,-2.3006
3.301,0.5567,1.6281,1.1698,1.5530,2.5095,1.1302,-2.2741
3.401,0.5548,1.6324,1.1576,1.5562,2.5106,1.1102,-2.2482
3.503,0.5548,1.6324,1.1576,1.5562,2.5106,1.1102,-2.2287
3.602,0.5533,1.6374,1.1393,1.5594,2.5101,1.0954,-2.2287
3.701,0.5645,1.6477,1.1020,1.5683,2.5106,1.0689,-2.2073
3.800,0.5883,1.6560,1.0649,1.5831,2.5119,1.0279,-2.1479
3.901,0.5938,1.6609,1.0439,1.5879,2.5106,1.0133,-2.1160
4.001,0.6045,1.6640,1.0281,1.5924,2.5119,0.9989,-2.0918
4.101,0.6069,1.6624,1.0237,1.5969,2.5126,0.9884,-2.0825
4.203,0.6041,1.6591,1.0210,1.5971,2.5119,0.9761,-2.0843
4.301,0.5994,1.6643,1.0215,1.5936,2.5102,0.9661,-2.0880
4.402,0.5984,1.6674,1.0286,1.5827,2.5096,0.9588,-2.0856
4.501,0.6006,1.6651,1.0354,1.5732,2.5103,0.9460,-2.0803
4.601,0.6084,1.6579,1.0449,1.5629,2.5126,0.9066,-2.0811
4.701,0.6123,1.6543,1.0500,1.5549,2.5116,0.8835,-2.0971
4.801,0.6123,1.6543,1.0500,1.5549,2.5116,0.8835,-2.1060
4.910,0.6185,1.6533,1.0537,1.5496,2.5105,0.8740,-2.1060
5.001,0.6316,1.6581,1.0676,1.5363,2.5115,0.8451,-2.1073
5.102,0.6338,1.6573,1.0716,1.5327,2.5106,0.8243,-2.1163
5.201,0.6401,1.6581,1.0750,1.5270,2.5085,0.8078,-2.1249
5.301,0.6443,1.6605,1.0781,1.5234,2.5094,0.7999,-2.1299
5.401,0.6464,1.6616,1.0797,1.5218,2.5105,0.7930,-2.1314
5.501,0.6493,1.6655,1.0795,1.5200,2.5102,0.7836,-2.1344
5.602,0.6595,1.6792,1.0792,1.5114,2.5079,0.7725,-2.1347
5.702,0.6665,1.6892,1.0726,1.5074,2.5065,0.7732,-2.1211
5.801,0.6667,1.6946,1.0697,1.5048,2.5052,0.7799,-2.1003
5.917,0.6673,1.6974,1.0692,1.5038,2.5042,0.7901,-2.0861
6.001,0.6695,1.6975,1.0705,1.5010,2.5038,0.8013,-2.0723
6.102,0.6703,1.6974,1.0709,1.5000,2.5041,0.8079,-2.0594
6.201,0.6717,1.6996,1.0729,1.4982,2.5026,0.8170,-2.0550
6.301,0.6749,1.7081,1.0744,1.4964,2.5019,0.8294,-2.0400
6.401,0.6764,1.7132,1.0757,1.4956,2.4994,0.8340,-2.0254
